game_date,ko_time,cup_round,cup_leg,cup_stage,cup_replay,cup_section,extra_time,pen_outcome,pen_score,pen_gf,pen_ga,agg_outcome,agg_score,agg_gf,agg_ga,away_goal_outcome,gg_outcome
2022-11-22,7.00pm,2,NA,2nd round - northern section,0,Northern,0,L,4-5,5,4,NA,NA,NA,NA,NA,NA
2022-11-05,3.00pm,1,NA,1st round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-18,7.00pm,G,NA,Group B - North,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-04,7.00pm,G,NA,Group B - North,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-09-20,7.00pm,G,NA,Group B - North,0,NA,0,W,5-4,5,4,NA,NA,NA,NA,NA,NA
2022-08-24,7.45pm,2,NA,2nd round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-08-09,7.45pm,1,NA,1st round,0,NA,0,W,12-11,11,12,NA,NA,NA,NA,NA,NA
2021-12-21,7.00pm,2,NA,2nd round - northern section,0,Northern,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-12-04,3.00pm,2,NA,2nd round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-11-09,7.00pm,G,NA,Group B – North,0,Group B – North,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-11-06,3.00pm,1,NA,1st round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-10-05,7.00pm,G,NA,Group B – North,0,Group B – North,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-09-14,7.00pm,G,NA,Group B – North,0,Group B – North,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-08-10,7.45pm,1,NA,1st round,0,NA,0,L,3-4,4,3,NA,NA,NA,NA,NA,NA
2021-05-23,12.30pm,SF,2,Semi-final 2nd leg,0,NA,0,NA,NA,NA,NA,L,2-3,NA,NA,NA,NA
2021-05-20,6.00pm,SF,1,Semi-final 1st leg,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-14,3.00pm,F,NA,Final,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
