season,scorers
"1960/61","Barnett"
"1960/61","Finney,Barnett"
"1960/61",""
"1960/61",""
"1960/61","Finney,Onyeali 2,Egington"
"1960/61","Finney,Onyeali"
"1960/61",""
"1960/61","Wiliams K,Edington"
"1960/61","Wiliams K 3,Onyeali"
"1960/61","Barnett 2"
"1960/61","Onyeali"
"1960/61","Finney,Wiliams K"
"1960/61","Eglington"
"1960/61","Onyedi"
"1960/61","Harrop,Onyeali"
"1960/61","Finney 2,Wiliams K"
"1960/61","Onyeali,Edington"
"1960/61","Wiliams K,Rowley,Edington"
"1960/61","Williams K"
"1960/61","Wiliams K"
"1960/61","Williams K,Rowley"
"1960/61","Wiliams K"
"1960/61","Wiliams K"
"1960/61","Wiliams K,Onyeali"
"1960/61","Rowey"
"1960/61","Rowey 2"
"1960/61","Williams K,Rowley"
"1960/61",""
"1960/61",""
"1960/61","Wiliams K,Rowley,Barnett"
"1960/61","Rowley,Price"
"1960/61","Edington"
"1960/61","Price"
"1960/61","Wiliams K 3,Mulkerrin,Eglington,OG"
"1960/61","Wiliams K,Barnett"
"1960/61","Wiliams K 2"
"1960/61","Finney"
"1960/61",""
"1960/61","Wiliams K"
"1960/61","Wiliams K,Arnell 2"
"1960/61",""
"1960/61","Murray,Williams K 2,Arnell,Gubbins 2,Eglington"
"1960/61","Wiliams K"
"1960/61","Wiliams K"
"1960/61","Arnell"
"1960/61","Wiliams K,Arnell"
"1960/61","Wiliams K"
"1960/61","Gubbins 2"
"1960/61",""
"1960/61","Wiliams K,Gubbins"
"1960/61","Gubbins"
"1960/61","McDonnell"
