game_date,player_name,goal_min,penalty
1930-09-27,Jack Kennedy,,
1930-10-04,Fred Urmson,,
1930-10-04,Jack Kennedy,,
1930-10-11,Ernie Dixon,,
1930-10-11,Farewell Watts,,
1930-10-11,Jack Kennedy,,
1930-10-18,Farewell Watts,,
1930-10-18,Jack Kennedy,,
1930-10-25,Jack Kennedy,,
1930-11-01,Ernie Dixon,,
1930-11-01,Ernie Dixon,,
1930-11-01,Farewell Watts,,
1930-11-01,Farewell Watts,,
1930-11-01,Jack Kennedy,,
1930-11-01,Jack Kennedy,,
1930-11-01,Sammy Meston,,
1930-11-08,Farewell Watts,,
1930-11-08,Jack Kennedy,,
1930-11-08,Jack Kennedy,,
1930-11-15,Ernie Dixon,,
1930-11-15,Ernie Dixon,,
1930-11-15,Farewell Watts,,
1930-11-15,Farewell Watts,,
1930-11-15,Farewell Watts,,
1930-11-22,Jack Kennedy,,
1930-11-22,Jack Kennedy,,
1930-11-22,Sammy Meston,,
1930-11-29,Ernie Dixon,,
1930-11-29,Farewell Watts,,
1930-11-29,Fred Urmson,,
1930-11-29,Ginger Lewis,,
1930-12-03,Farewell Watts,,
1930-12-03,Fred Urmson,,
1930-12-13,Ernie Dixon,,
1930-12-13,Farewell Watts,,
1930-12-13,Jack Kennedy,,
1930-12-13,Jack Kennedy,,
1930-12-25,Ernie Dixon,,
1930-12-25,Ernie Dixon,,
1930-12-25,Farewell Watts,,
1930-12-25,Farewell Watts,,
1930-12-25,Jack Kennedy,,
1930-12-25,Jack Kennedy,,
1930-12-26,Farewell Watts,,
1930-12-26,Jack Kennedy,,
1930-12-26,Jack Kennedy,,
1930-12-26,Jack Kennedy,,
1930-12-27,Ernie Dixon,,
1930-12-27,Ernie Dixon,,
1930-12-27,Farewell Watts,,
1930-12-27,Ginger Lewis,,
1930-12-27,Jack Kennedy,,
1931-01-01,Farewell Watts,,
1931-01-03,Ernie Dixon,,
1931-01-17,Ernie Dixon,,
1931-01-17,Ernie Dixon,,
1931-01-17,Ernie Dixon,,
1931-01-17,Farewell Watts,,
1931-01-17,Jack Kennedy,,
1931-01-17,Jack Kennedy,,
1931-01-17,Jack Kennedy,,
1931-01-17,Jack Kennedy,,
1931-01-24,Ernie Dixon,,
1931-01-24,Ernie Dixon,,
1931-01-24,Sammy Meston,,
1931-02-07,Fred Urmson,,
1931-02-07,Jack Kennedy,,
1931-02-14,Ernie Dixon,,
1931-02-14,Farewell Watts,,
1931-02-14,Sammy Meston,,
1931-02-21,Jack Kennedy,,
1931-02-28,Ernie Dixon,,
1931-02-28,Ernie Dixon,,
1931-02-28,Farewell Watts,,
1931-03-07,Ernie Dixon,,
1931-03-07,Fred Urmson,,
1931-03-07,Jack Kennedy,,
1931-03-07,Jack Kennedy,,
1931-03-14,Ernie Dixon,,
1931-03-14,Ernie Dixon,,
1931-03-14,Farewell Watts,,
1931-03-14,Fred Urmson,,
1931-03-14,Jack Kennedy,,
1931-03-21,Ernie Dixon,,
1931-03-21,Ernie Dixon,,
1931-03-28,Farewell Watts,,
1931-03-28,Fred Urmson,,
1931-03-28,Sammy Meston,,
1931-04-03,Fred Urmson,,
1931-04-03,Fred Urmson,,
1931-04-06,Ernie Dixon,,
1931-04-06,Jack Kennedy,,
1931-04-11,Teddy Barton,,
1931-04-25,Jack Kennedy,,
1931-08-29,Ernie Dixon,,
1931-08-29,Farewell Watts,,
1931-09-05,Ernie Dixon,,
1931-09-05,Farewell Watts,,
1931-09-05,Fred Urmson,,
1931-09-05,Jack Kennedy,,
1931-09-05,Sammy Meston,,
1931-09-12,Ernie Dixon,,
1931-09-12,Ernie Dixon,,
1931-09-12,Farewell Watts,,
1931-09-12,Farewell Watts,,
1931-09-12,Fred Urmson,,
1931-09-12,Fred Urmson,,
1931-09-14,Ernie Dixon,,
1931-09-14,OG,,
1931-09-19,Jack Kennedy,,
1931-09-26,Bert Fishwick,,
1931-09-26,Bert Whitehurst,,
1931-09-26,Bert Whitehurst,,
1931-09-26,Bert Whitehurst,,
1931-09-26,Bert Whitehurst,,
1931-09-26,Fred Urmson,,
1931-09-26,Sammy Meston,,
1931-09-26,Sammy Meston,,
1931-10-03,Sammy Meston,,
1931-10-10,Bert Fishwick,,
1931-10-10,Fred Urmson,,
1931-10-10,Jack Kennedy,,
1931-10-17,Sammy Meston,,
